Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Scope_Complexity_Numeric
P0035,Industrial Complex,Water Infra,High,6147581,57,57,51,0.54,0.62,476,Feasible,3
P0036,Urban Flyover,Bridge,High,2954354,94,80,72,0.12,0.97,413,Feasible,3
P0037,Urban Flyover,Bridge,Low,3416182,72,78,80,6.61,0.98,120,Feasible,1
P0038,Dam Reinforcement,Road,Low,4474675,96,38,65,2.89,0.98,414,Feasible,1
P0039,Urban Flyover,Bridge,Low,3652991,89,87,93,2.54,0.92,146,Not Feasible,1
P0040,Industrial Complex,Bridge,Low,3428388,61,74,99,3.31,0.68,155,Feasible,1
P0041,Industrial Complex,Building,High,1528178,61,51,26,2.7,0.54,279,Feasible,3
P0042,Highway Expansion,Power Plant,High,3663046,95,61,23,5.11,0.78,544,Not Feasible,3
P0043,Industrial Complex,Bridge,Low,3586644,96,98,71,4.4,0.78,518,Borderline,1
P0044,Urban Flyover,Bridge,Low,6499720,64,98,50,5.12,0.92,150,Feasible,1
P0045,Dam Reinforcement,Water Infra,High,3570406,90,71,94,6.73,1.0,246,Feasible,3
P0046,Highway Expansion,Road,Low,4416664,68,82,55,3.87,0.75,381,Feasible,1
P0047,Urban Flyover,Building,Medium,4385659,75,88,73,2.51,0.67,464,Borderline,2
P0048,Dam Reinforcement,Road,High,4385357,78,68,73,1.66,0.59,555,Not Feasible,3
P0049,Urban Flyover,Water Infra,Medium,3795513,71,44,36,3.49,0.5,329,Feasible,2
P0050,Highway Expansion,Water Infra,Medium,2465689,89,58,94,7.42,0.75,269,Not Feasible,2
P0051,Industrial Complex,Water Infra,High,1068148,70,32,49,7.57,0.78,150,Not Feasible,3
P0052,Highway Expansion,Bridge,High,2825665,87,39,41,6.67,0.91,219,Borderline,3
P0053,Industrial Complex,Road,Medium,3745683,69,58,62,2.34,0.75,448,Feasible,2
P0054,Highway Expansion,Road,Low,4397723,78,64,46,5.88,0.96,421,Feasible,1
P0055,Smart Solar Grid,Road,Low,4003758,53,35,56,5.71,0.81,570,Feasible,1
P0056,Urban Flyover,Power Plant,High,5056518,56,41,65,4.84,0.92,472,Borderline,3
P0057,Urban Flyover,Building,Medium,3669995,77,67,54,5.5,0.57,338,Not Feasible,2
P0058,Smart Solar Grid,Bridge,Medium,5450812,77,48,23,4.92,0.93,372,Feasible,2
P0059,Industrial Complex,Building,High,5997895,53,96,99,5.65,0.84,290,Feasible,3
P0060,Urban Flyover,Bridge,High,6091246,71,37,99,7.16,0.59,376,Feasible,3
P0061,Smart Solar Grid,Road,Medium,5798669,61,37,45,1.1,0.59,547,Not Feasible,2
P0062,Urban Flyover,Power Plant,Medium,2870928,94,76,38,7.5,0.96,176,Feasible,2
P0063,Dam Reinforcement,Power Plant,High,5155299,52,33,64,1.36,0.52,128,Feasible,3
P0064,Industrial Complex,Road,Medium,3557489,71,80,45,0.67,0.73,124,Feasible,2
P0065,Dam Reinforcement,Building,Low,2773415,93,96,41,9.76,0.66,454,Feasible,1
P0066,Industrial Complex,Water Infra,High,6000193,51,74,77,9.57,0.83,233,Feasible,3
P0067,Smart Solar Grid,Road,Low,6702653,73,37,82,0.6,0.92,384,Not Feasible,1
P0068,Industrial Complex,Bridge,High,3305413,83,45,47,4.43,0.68,292,Feasible,3
P0069,Industrial Complex,Building,High,4910197,76,96,84,1.86,0.71,339,Not Feasible,3
P0070,Smart Solar Grid,Water Infra,Medium,6558019,90,38,63,4.85,0.99,324,Borderline,2
P0071,Industrial Complex,Power Plant,Low,6414709,50,89,62,8.3,0.89,143,Feasible,1
P0072,Urban Flyover,Bridge,Medium,1271836,57,44,56,9.51,0.95,577,Not Feasible,2
P0073,Highway Expansion,Power Plant,Low,4584702,72,70,85,6.34,0.72,289,Feasible,1
P0074,Smart Solar Grid,Bridge,Medium,3095505,87,51,36,3.54,0.62,525,Feasible,2
P0075,Highway Expansion,Water Infra,High,3299435,55,53,59,6.03,0.71,222,Borderline,3
P0076,Smart Solar Grid,Bridge,Low,1196769,71,73,57,3.12,0.86,179,Feasible,1
P0077,Smart Solar Grid,Water Infra,Low,3658505,74,30,80,9.1,0.55,205,Feasible,1
P0078,Dam Reinforcement,Road,High,2271741,67,39,28,8.7,0.64,374,Feasible,3
P0079,Dam Reinforcement,Road,High,4769315,66,85,96,5.58,0.52,284,Feasible,3
P0080,Industrial Complex,Bridge,Medium,2046797,61,79,94,3.25,0.72,491,Feasible,2
P0081,Highway Expansion,Building,Low,4047262,55,41,80,2.93,0.91,286,Feasible,1
P0082,Smart Solar Grid,Power Plant,Medium,2584398,75,89,99,0.33,0.51,203,Feasible,2
P0083,Industrial Complex,Bridge,Low,3585031,76,55,35,8.16,0.84,577,Not Feasible,1
P0084,Urban Flyover,Bridge,Low,1564685,57,70,21,4.5,0.97,321,Feasible,1
P0085,Smart Solar Grid,Power Plant,Medium,3879190,68,65,91,3.25,0.62,209,Feasible,2
P0086,Urban Flyover,Bridge,High,6596411,91,52,62,4.71,0.85,208,Feasible,3
P0087,Industrial Complex,Power Plant,High,2311736,50,72,61,8.19,0.99,556,Feasible,3
P0088,Dam Reinforcement,Water Infra,Medium,2007293,78,35,96,1.25,0.98,239,Borderline,2
P0089,Industrial Complex,Building,High,5774183,94,98,76,8.58,0.62,275,Not Feasible,3
P0090,Urban Flyover,Road,Medium,4366612,98,72,86,8.98,0.55,580,Feasible,2
P0091,Smart Solar Grid,Road,High,1023247,84,54,49,9.47,0.57,518,Feasible,3
P0092,Highway Expansion,Building,Medium,6267180,89,47,32,3.97,0.85,307,Feasible,2
P0093,Industrial Complex,Power Plant,Medium,3704238,63,91,38,2.17,0.86,307,Feasible,2
P0094,Smart Solar Grid,Building,Medium,3630708,84,42,26,3.74,0.84,381,Not Feasible,2
P0095,Dam Reinforcement,Power Plant,Medium,4494679,97,72,28,3.33,0.67,171,Borderline,2
P0096,Dam Reinforcement,Building,High,6517209,94,57,73,1.76,0.58,259,Feasible,3
P0097,Dam Reinforcement,Bridge,Low,2767640,69,47,80,6.07,0.79,138,Not Feasible,1
P0098,Smart Solar Grid,Bridge,High,3613740,98,88,21,4.77,0.74,599,Feasible,3
P0099,Industrial Complex,Building,Low,2285160,62,89,69,8.66,0.86,194,Not Feasible,1
P0100,Smart Solar Grid,Water Infra,Medium,6805212,87,92,94,0.32,0.72,349,Feasible,2
P0101,Smart Solar Grid,Building,Low,6173036,98,86,50,6.44,0.67,249,Borderline,1
P0102,Highway Expansion,Road,Low,2425472,95,80,52,7.63,0.65,174,Feasible,1
P0103,Highway Expansion,Bridge,High,1048984,98,85,97,7.59,0.61,390,Feasible,3
P0104,Industrial Complex,Building,Medium,3400070,57,56,99,8.86,0.63,567,Not Feasible,2
P0105,Highway Expansion,Road,Medium,4265879,92,61,30,7.29,0.55,219,Not Feasible,2
P0106,Dam Reinforcement,Bridge,Medium,2504384,69,38,52,9.28,0.67,188,Borderline,2
P0107,Highway Expansion,Water Infra,Low,3230919,82,97,26,3.33,0.52,518,Borderline,1
P0108,Dam Reinforcement,Water Infra,Medium,2752126,75,75,50,5.03,0.59,418,Borderline,2
P0109,Industrial Complex,Road,High,5330634,88,96,67,0.14,0.87,577,Borderline,3
P0110,Smart Solar Grid,Building,Low,2737095,70,55,66,0.07,0.66,136,Borderline,1
P0111,Smart Solar Grid,Bridge,Low,3111138,98,37,97,2.4,0.83,473,Feasible,1
P0112,Highway Expansion,Water Infra,Low,5780450,91,35,72,1.01,0.86,235,Feasible,1
P0113,Dam Reinforcement,Road,Low,3109818,92,53,99,2.6,0.79,271,Borderline,1
P0114,Urban Flyover,Power Plant,High,3231785,90,77,38,1.77,0.98,449,Not Feasible,3
P0115,Urban Flyover,Building,Low,5483302,58,74,25,0.29,0.51,235,Feasible,1
P0116,Urban Flyover,Power Plant,Low,3948089,73,42,68,9.09,0.87,149,Feasible,1
P0117,Smart Solar Grid,Building,High,3725928,86,98,92,0.08,0.98,442,Feasible,3
P0118,Smart Solar Grid,Bridge,Medium,4853339,98,54,69,7.36,0.93,170,Feasible,2
P0119,Dam Reinforcement,Road,High,2843400,90,49,31,1.52,0.58,179,Borderline,3
P0120,Highway Expansion,Bridge,Medium,2079111,66,95,42,9.12,0.66,348,Feasible,2
P0121,Urban Flyover,Power Plant,Low,1996107,73,74,73,8.93,0.59,378,Feasible,1
P0122,Dam Reinforcement,Road,Low,4521441,70,76,88,6.54,0.8,479,Not Feasible,1
P0123,Dam Reinforcement,Bridge,Low,5545583,88,92,78,6.72,0.86,124,Feasible,1
P0124,Highway Expansion,Bridge,High,2870230,90,84,55,0.05,0.66,147,Feasible,3
P0125,Dam Reinforcement,Bridge,Medium,4747389,88,48,22,9.85,0.77,373,Not Feasible,2
P0126,Highway Expansion,Power Plant,Medium,5142807,62,64,77,8.78,0.85,483,Feasible,2
P0127,Industrial Complex,Bridge,High,5683874,60,82,74,8.95,0.71,581,Feasible,3
P0128,Highway Expansion,Water Infra,High,4602279,95,55,76,6.59,0.93,350,Not Feasible,3
P0129,Urban Flyover,Building,Medium,6515989,68,43,36,3.45,0.89,514,Borderline,2
P0130,Urban Flyover,Water Infra,High,3121690,60,74,58,8.94,0.53,575,Borderline,3
P0131,Highway Expansion,Power Plant,Low,3991650,62,73,87,2.92,0.81,476,Borderline,1
P0132,Industrial Complex,Power Plant,Medium,1491234,95,94,74,5.63,0.62,319,Borderline,2
P0133,Industrial Complex,Bridge,High,2948260,94,80,64,1.0,0.78,451,Feasible,3
P0134,Urban Flyover,Road,Medium,5333486,50,72,95,9.22,0.98,390,Feasible,2
P0135,Industrial Complex,Water Infra,High,2521101,89,52,20,1.41,0.94,458,Feasible,3
P0136,Dam Reinforcement,Power Plant,Medium,6401218,93,85,40,2.25,0.7,423,Not Feasible,2
P0137,Smart Solar Grid,Building,Medium,5378368,68,48,40,5.58,0.65,502,Feasible,2
P0138,Dam Reinforcement,Power Plant,Medium,5408324,61,84,71,7.64,0.62,165,Feasible,2
P0139,Urban Flyover,Water Infra,Low,4136729,57,89,62,6.19,0.77,147,Not Feasible,1
P0140,Industrial Complex,Building,Low,1897421,57,88,71,2.32,0.56,126,Not Feasible,1
P0141,Highway Expansion,Building,Medium,6888794,94,62,86,0.01,0.77,351,Feasible,2
P0142,Smart Solar Grid,Bridge,High,6362056,61,48,63,7.57,0.5,318,Feasible,3
P0143,Highway Expansion,Road,Low,1122409,97,57,51,9.85,0.66,213,Feasible,1
P0144,Urban Flyover,Building,High,3016716,82,81,29,8.1,0.61,201,Feasible,3
P0145,Industrial Complex,Bridge,Medium,3350770,94,78,83,4.6,0.99,207,Feasible,2
P0146,Highway Expansion,Road,High,1769598,75,66,98,9.04,0.86,509,Not Feasible,3
P0147,Highway Expansion,Bridge,Low,6292895,88,55,88,4.1,0.67,305,Not Feasible,1
P0148,Smart Solar Grid,Power Plant,High,4267824,77,69,87,5.25,0.55,362,Feasible,3
P0149,Smart Solar Grid,Power Plant,High,4331068,54,67,47,4.77,0.76,187,Feasible,3
P0150,Industrial Complex,Road,Medium,4256415,57,83,72,4.48,0.61,430,Feasible,2
P0151,Smart Solar Grid,Bridge,Medium,1874371,74,51,70,7.75,0.77,570,Borderline,2
P0152,Highway Expansion,Water Infra,High,6654237,76,45,72,5.27,0.92,552,Feasible,3
P0153,Highway Expansion,Bridge,High,3832868,95,57,23,3.17,0.81,493,Feasible,3
P0154,Urban Flyover,Water Infra,Medium,6348758,72,64,98,2.58,0.82,554,Feasible,2
P0155,Highway Expansion,Building,Low,4872998,79,89,36,0.38,0.77,306,Feasible,1
P0156,Industrial Complex,Building,Low,1973548,94,74,86,5.83,0.96,358,Borderline,1
P0157,Dam Reinforcement,Building,High,4344014,96,75,93,2.3,0.97,509,Feasible,3
P0158,Urban Flyover,Bridge,Medium,2213475,72,84,66,1.48,0.76,337,Feasible,2
P0159,Urban Flyover,Road,High,4470495,98,55,75,6.54,0.65,227,Borderline,3
P0160,Industrial Complex,Water Infra,Medium,6193542,96,54,42,6.81,0.73,426,Feasible,2
P0161,Industrial Complex,Bridge,Low,3959034,69,94,37,7.52,0.59,157,Borderline,1
P0162,Smart Solar Grid,Building,High,5574293,67,35,20,5.04,0.82,514,Feasible,3
P0163,Urban Flyover,Power Plant,Medium,1043585,67,52,54,8.94,0.75,555,Feasible,2
P0164,Smart Solar Grid,Building,High,6614249,51,93,83,9.36,0.55,468,Feasible,3
P0165,Highway Expansion,Road,Low,4057213,53,72,77,8.07,0.6,395,Feasible,1
P0166,Urban Flyover,Building,Low,3539448,79,52,78,6.36,0.74,129,Feasible,1
P0167,Urban Flyover,Road,High,1109556,82,59,20,3.04,0.94,145,Feasible,3
P0168,Dam Reinforcement,Power Plant,High,2575557,85,47,22,9.83,0.78,167,Feasible,3
P0169,Urban Flyover,Water Infra,High,5027419,67,50,86,2.74,0.84,466,Feasible,3
P0170,Highway Expansion,Building,Medium,5394539,86,86,56,2.03,0.67,489,Not Feasible,2
P0171,Smart Solar Grid,Road,Medium,3123091,68,52,48,4.42,0.79,133,Feasible,2
P0172,Smart Solar Grid,Water Infra,High,3009021,96,74,52,0.57,0.72,219,Feasible,3
P0173,Dam Reinforcement,Power Plant,Low,2201482,77,73,80,9.78,0.83,306,Feasible,1
P0174,Highway Expansion,Road,High,1542335,89,76,23,5.88,0.53,131,Not Feasible,3
P0175,Smart Solar Grid,Power Plant,High,4433977,69,69,33,5.57,0.75,491,Feasible,3
P0176,Industrial Complex,Power Plant,Low,5270070,98,80,52,6.56,0.65,498,Feasible,1
P0177,Highway Expansion,Bridge,Low,4560920,82,71,41,4.97,0.66,398,Feasible,1
P0178,Highway Expansion,Water Infra,Medium,3484413,61,36,67,0.32,0.98,460,Feasible,2
P0179,Dam Reinforcement,Bridge,High,3907360,64,79,22,6.12,0.59,447,Not Feasible,3
P0180,Smart Solar Grid,Power Plant,High,3782592,90,77,42,7.16,0.66,286,Feasible,3
P0181,Highway Expansion,Road,High,6895544,88,35,87,4.17,0.75,241,Feasible,3
P0182,Smart Solar Grid,Building,High,6178650,51,38,40,7.57,0.93,512,Not Feasible,3
P0183,Industrial Complex,Bridge,Low,6697469,78,86,62,2.27,0.71,591,Feasible,1
P0184,Dam Reinforcement,Building,High,3235000,90,60,45,2.21,0.87,214,Not Feasible,3
P0185,Industrial Complex,Bridge,High,5322252,59,50,60,1.61,0.93,144,Not Feasible,3
P0186,Dam Reinforcement,Water Infra,High,6822184,51,69,57,3.72,0.66,136,Borderline,3
P0187,Highway Expansion,Building,High,1402690,60,74,30,8.47,0.7,545,Feasible,3
P0188,Dam Reinforcement,Bridge,Medium,5693350,62,78,48,8.28,0.68,148,Feasible,2
P0189,Urban Flyover,Power Plant,High,3548421,59,49,79,3.83,0.92,563,Feasible,3
P0190,Smart Solar Grid,Road,Low,5216263,63,46,86,5.89,0.52,442,Feasible,1
P0191,Smart Solar Grid,Power Plant,Medium,4806618,67,57,84,7.21,0.65,460,Feasible,2
P0192,Urban Flyover,Water Infra,High,6993096,58,70,80,2.41,0.84,432,Feasible,3
P0193,Industrial Complex,Water Infra,Low,2954109,88,95,38,1.68,0.78,191,Feasible,1
P0194,Urban Flyover,Bridge,Medium,5422880,77,54,65,9.72,0.72,389,Not Feasible,2
P0195,Highway Expansion,Power Plant,Medium,4112754,52,87,68,6.18,0.77,369,Not Feasible,2
P0196,Highway Expansion,Building,High,2384250,69,70,41,9.81,0.6,414,Feasible,3
P0197,Smart Solar Grid,Bridge,Medium,5025717,55,35,97,3.38,0.72,263,Not Feasible,2
P0198,Highway Expansion,Bridge,High,1061087,76,67,76,7.03,0.75,393,Borderline,3
P0199,Smart Solar Grid,Power Plant,High,6207647,51,35,33,2.23,0.95,342,Borderline,3
P0200,Urban Flyover,Road,Medium,2496176,78,74,63,2.61,0.63,194,Not Feasible,2
P0201,Urban Flyover,Water Infra,Medium,2886013,87,43,35,5.12,0.93,221,Not Feasible,2
P0202,Urban Flyover,Building,Medium,5634096,52,95,96,3.2,0.82,139,Borderline,2
P0203,Smart Solar Grid,Water Infra,Medium,1039353,65,69,31,1.68,0.51,236,Feasible,2
P0204,Urban Flyover,Bridge,Medium,4360011,79,32,74,2.63,0.86,293,Feasible,2
P0205,Urban Flyover,Road,Low,5259622,89,53,70,0.36,0.52,492,Not Feasible,1
P0206,Industrial Complex,Bridge,Low,5959617,51,48,58,7.04,1.0,292,Not Feasible,1
P0207,Urban Flyover,Road,High,6725570,66,47,52,4.92,0.94,123,Feasible,3
P0208,Highway Expansion,Power Plant,High,1416880,90,93,52,0.94,0.65,459,Feasible,3
P0209,Smart Solar Grid,Water Infra,High,5965050,61,64,48,1.72,0.63,598,Feasible,3
P0210,Industrial Complex,Bridge,Medium,1813168,84,91,88,1.03,0.69,267,Not Feasible,2
P0211,Dam Reinforcement,Road,High,1225281,92,30,89,6.13,0.68,514,Feasible,3
P0212,Smart Solar Grid,Road,High,4117697,50,54,50,0.94,0.69,233,Feasible,3
P0213,Highway Expansion,Bridge,Medium,4782875,94,74,99,7.54,0.66,440,Not Feasible,2
P0214,Smart Solar Grid,Water Infra,Low,3995765,64,78,50,0.21,0.81,521,Feasible,1
P0215,Highway Expansion,Power Plant,High,6595108,75,45,65,2.49,0.58,286,Feasible,3
P0216,Highway Expansion,Power Plant,Medium,6674719,86,48,96,8.91,0.92,419,Feasible,2
P0217,Dam Reinforcement,Building,High,1269536,70,52,71,7.19,0.91,237,Not Feasible,3
P0218,Smart Solar Grid,Building,Low,6500306,98,54,29,0.73,0.74,219,Feasible,1
P0219,Dam Reinforcement,Building,High,5372093,80,45,93,8.21,0.93,393,Feasible,3
P0220,Dam Reinforcement,Water Infra,Low,2561729,74,83,60,4.93,0.62,294,Not Feasible,1
P0221,Smart Solar Grid,Building,High,6031595,72,30,96,8.47,0.51,278,Not Feasible,3
P0222,Urban Flyover,Building,Medium,3222809,73,71,22,6.01,0.81,503,Not Feasible,2
P0223,Urban Flyover,Water Infra,High,6478047,87,48,78,6.82,0.73,346,Feasible,3
P0224,Dam Reinforcement,Building,High,1681669,77,63,71,9.94,0.78,542,Not Feasible,3
P0225,Industrial Complex,Power Plant,Low,4864822,70,84,53,2.32,0.95,157,Feasible,1
P0226,Dam Reinforcement,Bridge,Medium,2119043,92,47,68,6.24,0.98,582,Feasible,2
P0227,Dam Reinforcement,Power Plant,Medium,4329462,67,63,47,4.6,0.82,550,Not Feasible,2
P0228,Dam Reinforcement,Power Plant,Low,3206903,85,74,32,0.39,0.88,317,Not Feasible,1
P0229,Urban Flyover,Road,Low,6623930,84,35,88,0.14,0.54,255,Feasible,1
P0230,Urban Flyover,Bridge,High,2741093,94,50,86,1.19,0.58,223,Feasible,3
P0231,Urban Flyover,Power Plant,Low,3558231,58,99,80,6.49,0.87,589,Feasible,1
P0232,Dam Reinforcement,Bridge,Medium,5300385,87,77,79,5.67,0.72,312,Feasible,2
P0233,Industrial Complex,Power Plant,Medium,4080389,79,68,90,5.53,0.72,369,Feasible,2
P0234,Urban Flyover,Water Infra,Low,2661909,93,60,43,0.32,0.65,132,Feasible,1
P0235,Smart Solar Grid,Water Infra,High,3656138,83,39,82,4.69,0.8,174,Borderline,3
P0236,Smart Solar Grid,Building,Medium,1110078,81,59,80,9.25,0.59,463,Feasible,2
P0237,Smart Solar Grid,Water Infra,Medium,2915631,52,47,42,3.98,0.81,204,Not Feasible,2
P0238,Highway Expansion,Bridge,Medium,6661280,52,89,49,6.25,0.59,228,Not Feasible,2
P0239,Dam Reinforcement,Road,Low,2404104,77,44,79,7.8,0.53,162,Feasible,1
P0240,Smart Solar Grid,Building,High,3008187,93,33,37,7.84,0.67,507,Feasible,3
P0241,Dam Reinforcement,Power Plant,Low,2659066,64,92,75,5.19,0.62,190,Not Feasible,1
P0242,Smart Solar Grid,Water Infra,High,5173125,90,69,72,8.58,0.94,563,Feasible,3
P0243,Industrial Complex,Building,Low,3148815,72,38,26,3.91,0.53,387,Not Feasible,1
P0244,Dam Reinforcement,Water Infra,High,5024066,89,38,88,8.89,0.59,178,Feasible,3
P0245,Smart Solar Grid,Building,High,5506259,60,55,91,2.4,0.77,580,Feasible,3
P0246,Urban Flyover,Bridge,Low,5135314,97,33,98,2.8,0.74,557,Feasible,1
P0247,Dam Reinforcement,Bridge,High,1910681,81,45,71,0.53,0.52,163,Not Feasible,3
P0248,Highway Expansion,Power Plant,Medium,2607618,85,44,23,7.96,0.5,391,Borderline,2
P0249,Urban Flyover,Building,Medium,4896830,82,81,53,4.17,0.99,509,Feasible,2
P0250,Urban Flyover,Road,Low,5336787,73,98,88,2.29,0.83,133,Borderline,1
P0251,Highway Expansion,Bridge,Medium,3755423,88,34,52,2.32,0.68,490,Feasible,2
P0252,Urban Flyover,Power Plant,High,3033350,83,49,88,9.01,0.74,231,Not Feasible,3
P0253,Urban Flyover,Building,Low,3311987,77,47,57,8.34,0.63,498,Not Feasible,1
P0254,Smart Solar Grid,Power Plant,Medium,5596200,86,31,45,5.54,0.67,433,Not Feasible,2
P0255,Smart Solar Grid,Bridge,Low,5671399,56,42,20,6.16,0.82,534,Borderline,1
P0256,Dam Reinforcement,Power Plant,High,1071295,53,33,23,4.74,0.94,347,Borderline,3
P0257,Dam Reinforcement,Building,Low,1743974,86,71,58,3.92,0.59,288,Feasible,1
P0258,Dam Reinforcement,Water Infra,Medium,6081425,50,90,73,9.15,0.92,495,Feasible,2
P0259,Smart Solar Grid,Road,Low,4445376,50,37,52,1.26,0.56,410,Feasible,1
P0260,Dam Reinforcement,Bridge,Low,6251035,96,96,52,4.18,0.61,365,Feasible,1
P0261,Urban Flyover,Building,High,4612600,69,92,91,3.45,0.52,385,Feasible,3
P0262,Smart Solar Grid,Building,Low,1825816,68,38,39,4.98,0.57,456,Feasible,1
P0263,Dam Reinforcement,Power Plant,Medium,1374705,78,40,35,4.58,0.96,362,Feasible,2
P0264,Urban Flyover,Bridge,Medium,4717270,59,71,40,5.19,0.73,277,Borderline,2
P0265,Dam Reinforcement,Water Infra,Medium,2856926,67,42,64,1.4,0.54,419,Feasible,2
P0266,Industrial Complex,Water Infra,Low,2658845,77,65,81,5.13,0.98,558,Feasible,1
P0267,Dam Reinforcement,Road,High,3026793,84,42,50,2.42,0.94,446,Feasible,3
P0268,Industrial Complex,Road,Medium,1554594,92,41,61,1.84,0.88,137,Feasible,2
P0269,Dam Reinforcement,Power Plant,High,1147718,96,66,31,0.65,0.97,202,Not Feasible,3
P0270,Highway Expansion,Bridge,High,5839567,80,81,84,7.63,0.61,454,Feasible,3
P0271,Dam Reinforcement,Water Infra,Low,4504473,76,31,92,4.27,0.92,350,Feasible,1
P0272,Smart Solar Grid,Bridge,Low,3204664,60,85,22,6.27,0.84,461,Feasible,1
P0273,Smart Solar Grid,Power Plant,High,5341747,98,89,28,7.28,0.93,372,Borderline,3
P0274,Industrial Complex,Bridge,High,2519163,98,52,70,6.79,0.9,286,Feasible,3
P0275,Smart Solar Grid,Bridge,Medium,5567920,87,69,35,4.71,0.67,161,Feasible,2
P0276,Urban Flyover,Bridge,Low,1686976,54,93,97,3.88,0.89,368,Not Feasible,1
P0277,Highway Expansion,Power Plant,High,6608751,57,52,22,3.76,0.63,367,Feasible,3
P0278,Highway Expansion,Power Plant,Medium,3472189,83,58,43,6.4,0.66,557,Feasible,2
P0279,Urban Flyover,Power Plant,Low,4141259,97,80,92,4.95,0.55,499,Feasible,1
P0280,Industrial Complex,Water Infra,Low,1117796,61,98,32,8.49,0.97,405,Feasible,1
P0281,Urban Flyover,Building,Low,2241082,87,60,21,8.75,0.65,139,Borderline,1
P0282,Urban Flyover,Bridge,Medium,6184502,50,79,90,1.71,0.76,501,Feasible,2
P0283,Highway Expansion,Road,Medium,5892680,80,49,40,1.36,0.7,471,Feasible,2
P0284,Dam Reinforcement,Road,Medium,5892306,53,84,38,6.3,0.98,500,Feasible,2
P0285,Highway Expansion,Building,Medium,6782319,98,31,66,3.01,0.67,161,Feasible,2
P0286,Highway Expansion,Bridge,Medium,5114639,94,54,41,0.19,0.89,464,Feasible,2
